neighborhood,total.crime.statement,total.crime.number,total.crime.change.statement,total.crime.city.statement,total.crime.city.change.statement
College/Glen,There were 30 crimes recorded during the month of June.,30,That's down 23 from the previous month's total of 53.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Colonial Heights,There were 5 crimes recorded during the month of June.,5,That's up 1 from the previous month's total of 4.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Colonial Manor,There were 2 crimes recorded during the month of June.,2,That's down 5 from the previous month's total of 7.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Colonial Village,There were 8 crimes recorded during the month of June.,8,That's up 1 from the previous month's total of 7.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Creekside,There were 11 crimes recorded during the month of June.,11,That's down 5 from the previous month's total of 16.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
CSUS,There were 12 crimes recorded during the month of June.,12,That's no change from the previous month's total of 12.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Curtis Park,There were 37 crimes recorded during the month of June.,37,That's up 3 from the previous month's total of 34.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Del Paso Heights,There were 23 crimes recorded during the month of June.,23,That's no change from the previous month's total of 23.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Del Paso Park,There were 9 crimes recorded during the month of June.,9,That's down 12 from the previous month's total of 21.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Depot Park,There have been no crimes recorded in this neighborhood this year.,0,There have been no crimes recorded in this neighborhood this year.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Dos Rios Triangle,There have been no crimes recorded in this neighborhood this year.,0,There have been no crimes recorded in this neighborhood this year.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Downtown,There were 179 crimes recorded during the month of June.,179,That's up 17 from the previous month's total of 162.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
East Del Paso Heights,There were 24 crimes recorded during the month of June.,24,That's down 14 from the previous month's total of 38.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
East Sacramento,There were 102 crimes recorded during the month of June.,102,That's down 33 from the previous month's total of 135.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Elder Creek,There have been no crimes recorded in this neighborhood this year.,0,There have been no crimes recorded in this neighborhood this year.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Elmhurst,There were 2 crimes recorded during the month of June.,2,That's down 6 from the previous month's total of 8.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Erikson Industrial Park,There were 8 crimes recorded during the month of June.,8,That's up 4 from the previous month's total of 4.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Fairgrounds,There were 1 crimes recorded during the month of June.,1,That's down 2 from the previous month's total of 3.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Florin Fruitridge Industrial Park,There were 15 crimes recorded during the month of June.,15,That's down 6 from the previous month's total of 21.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Freeport Manor,There were 8 crimes recorded during the month of June.,8,That's down 1 from the previous month's total of 9.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Fruitridge Manor,There were 33 crimes recorded during the month of June.,33,That's down 33 from the previous month's total of 66.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Gardenland,There were 29 crimes recorded during the month of June.,29,That's up 10 from the previous month's total of 19.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Gateway Center,There have been no crimes recorded in this neighborhood this year.,0,There have been no crimes recorded in this neighborhood this year.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Gateway West,There were 17 crimes recorded during the month of June.,17,That's up 5 from the previous month's total of 12.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Glen Elder,There were 3 crimes recorded during the month of June.,3,That's down 3 from the previous month's total of 6.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
